sequence_id,pattern,arm,repetition,attempt_directory,id,index,component,exclusive_wall_seconds
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,unaccounted,0.004327864
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,other_instrumented,0.030234372
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,deterministic_routing_and_bookkeeping,0.032388657
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,answer_generation,42.121706619
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,eviction,0.027386059
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,residency_audit,0.009394143
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t1,1,validation,0.006839084
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,unaccounted,0.005009094
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,other_instrumented,0.025549513
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,deterministic_routing_and_bookkeeping,0.032551929
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,memory_classifier,5.32343323
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,residency_audit,0.014448839
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,answer_generation,34.669822883
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t2,2,validation,0.004144629
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,unaccounted,0.005653492
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,other_instrumented,0.021641979
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,deterministic_routing_and_bookkeeping,0.03334254
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,memory_classifier,4.909035613
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,residency_audit,0.01546755
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,answer_generation,11.125646105
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t3,3,validation,0.005923162
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,unaccounted,0.00518849
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,other_instrumented,0.023619525
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,deterministic_routing_and_bookkeeping,0.027984638
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,memory_classifier,9.540910162
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,residency_audit,0.013515095
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,answer_generation,15.106809896
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,ro_dddd_1_t4,4,validation,0.005025
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,unaccounted,0.005649329
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,other_instrumented,0.025528026
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,deterministic_routing_and_bookkeeping,0.020789468
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,answer_generation,53.68128032
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,residency_audit,0.008713583
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t1,1,validation,0.006335807
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,unaccounted,0.004628573
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,other_instrumented,0.023276306
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,deterministic_routing_and_bookkeeping,0.019215904
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,memory_classifier,2.898716712
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,residency_audit,0.014956652
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,answer_generation,17.544278563
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t2,2,validation,0.007747804
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,unaccounted,0.004664574
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,other_instrumented,0.021897178
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,deterministic_routing_and_bookkeeping,0.020783392
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,memory_classifier,6.284578286
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,residency_audit,0.017549121
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,answer_generation,12.38266203
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t3,3,validation,0.004816993
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,unaccounted,0.006408033
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,other_instrumented,0.023925827
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,deterministic_routing_and_bookkeeping,0.017590626
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,memory_classifier,5.586331697
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,residency_audit,0.015684476
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,answer_generation,13.626645056
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,ro_dddd_1_t4,4,validation,0.005472014
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,unaccounted,0.005170764
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,other_instrumented,0.02560533
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,deterministic_routing_and_bookkeeping,0.013828733
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,answer_generation,63.228255877
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,eviction,0.018160567
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,residency_audit,0.007889412
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t1,1,validation,0.006149408
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,unaccounted,0.005999933
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,other_instrumented,0.023541064
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,deterministic_routing_and_bookkeeping,0.012999822
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,answer_generation,30.343371305
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,residency_audit,0.006694668
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t2,2,validation,0.006792526
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,unaccounted,0.004281465
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,other_instrumented,0.021949866
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,deterministic_routing_and_bookkeeping,0.01423812
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,answer_generation,19.519081541
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,residency_audit,0.007984903
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t3,3,validation,0.007703072
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,unaccounted,0.005939803
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,other_instrumented,0.021970507
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,deterministic_routing_and_bookkeeping,0.014564656
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,answer_generation,7.68939086
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,residency_audit,0.008715478
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,ro_dddd_1_t4,4,validation,0.006478983
ro_dddd_1,DDDD,small,1,ro_dddd_1_r1_small,ro_dddd_1_t1,1,unaccounted,0.004835199
ro_dddd_1,DDDD,small,1,ro_dddd_1_r1_small,ro_dddd_1_t1,1,other_instrumented,0.027674689
