sequence_id,pattern,arm,repetition,attempt_directory,status,attempted_turns,complete,accounting_ok,startup_seconds,request_seconds,sequence_seconds,sequence_gaps_seconds,envelope_seconds,cleanup_seconds,delivered,resident_models_after_cleanup,error,cleanup_errors,source_freeze,completion_eligibility_note
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,complete,4,True,True,3.000970171,123.147000162,126.330813718,0.182843385,127.331060156,0.213084961,4,[],,[],v1,
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,complete,4,True,True,2.299648679,112.28012635,114.746684388,0.166909359,115.696668708,0.220361441,4,[],,[],v1,
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,complete,4,True,True,3.203582925,121.026758663,124.40622582,0.175884232,125.335005996,0.19680577,4,[],,[],v1,
ro_dddd_1,DDDD,small,1,ro_dddd_1_r1_small,complete,4,True,True,2.290950246,16.824310943,19.288597921,0.173336732,20.167834439,0.160251934,4,[],,[],v1,
ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_r1_adaptive,complete,4,True,True,3.108900428,102.977983775,106.258105133,0.17122093,107.192900981,0.208913199,4,[],,[],v1,
ro_dddd_2,DDDD,large,1,ro_dddd_2_r1_large,complete,4,True,True,2.43373368,117.623584972,120.213921192,0.15660254,121.289360479,0.248964891,4,[],,[],v1,
ro_dddd_2,DDDD,replay,1,ro_dddd_2_r1_replay,complete,4,True,True,2.623411775,72.37055961,75.161844266,0.167872881,76.104871163,0.204906958,4,[],,[],v1,
ro_dddd_2,DDDD,small,1,ro_dddd_2_r1_small,complete,4,True,True,2.771821618,19.020564346,21.955303906,0.162917942,22.8138407,0.126164757,4,[],,[],v1,
ro_dddd_3,DDDD,large,1,ro_dddd_3_r1_large,interrupted,4,True,True,2.366733124,118.982166035,121.50631891,0.157419751,122.453557373,0.208638658,3,[],"{""message"": ""robot response omits requested temporal memory detail"", ""type"": ""ResponseValidationError""}",[],v1,All four turns observed; final validation failure retained; original interrupted status unchanged.
ro_dddd_3,DDDD,small,1,ro_dddd_3_r1_small,complete,4,True,True,2.340220972,19.961949721,22.442304449,0.140133756,23.317809814,0.142590484,4,[],,[],v1,
ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_r1_adaptive,complete,4,True,True,3.802298518,16.893653579,20.857891126,0.161939029,21.701575914,0.122324784,4,[],,[],v1,
ro_eeee_1,EEEE,large,1,ro_eeee_1_r1_large,complete,4,True,True,2.862677595,113.785415302,116.816727378,0.168634481,117.808623702,0.21789849,4,[],,[],v1,
ro_eeee_1,EEEE,replay,1,ro_eeee_1_r1_replay,complete,4,True,True,2.433138727,13.591786645,16.176710774,0.151785402,17.042637152,0.129499299,4,[],,[],v1,
ro_eeee_1,EEEE,small,1,ro_eeee_1_r1_small,complete,4,True,True,2.785508094,17.597038417,20.565135428,0.182588917,21.493935681,0.156967047,4,[],,[],v1,
ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_r1_adaptive,complete,4,True,True,2.671710626,17.168083147,20.008176785,0.168383012,20.902488243,0.162426059,4,[],,[],v1,
ro_eeee_2,EEEE,large,1,ro_eeee_2_r1_large,complete,4,True,True,2.548212532,90.095877109,92.823930627,0.179840986,93.79887471,0.231869784,4,[],,[],v1,
ro_eeee_2,EEEE,replay,1,ro_eeee_2_r1_replay,complete,4,True,True,2.375387045,13.635372495,16.172462348,0.161702808,17.042014932,0.141944002,4,[],,[],v1,
ro_eeee_2,EEEE,small,1,ro_eeee_2_r1_small,complete,4,True,True,2.37325585,15.437189061,17.9717605,0.161315589,18.870055982,0.164544833,4,[],,[],v1,
ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_r1_adaptive,complete,4,True,True,4.556061971,16.906766093,21.629086322,0.166258258,22.498170259,0.144543921,4,[],,[],v1,
ro_eeee_3,EEEE,large,1,ro_eeee_3_r1_large,complete,4,True,True,2.436347093,87.366539696,89.976824562,0.173937773,91.010003253,0.240006167,4,[],,[],v1,
ro_eeee_3,EEEE,replay,1,ro_eeee_3_r1_replay,complete,4,True,True,2.521500474,13.788561285,16.457960404,0.147898645,17.436632272,0.228304513,4,[],,[],v1,
ro_eeee_3,EEEE,small,1,ro_eeee_3_r1_small,complete,4,True,True,2.499661399,15.599464564,18.256822704,0.157696741,19.137601812,0.158778111,4,[],,[],v1,
