attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,answer_generation_seconds,eviction_seconds,residency_audit_seconds,validation_seconds,quality_label,correct,memory_classifier_seconds,retrieval_seconds
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t1,1,ok,42.232276798,D,qwen3:1.7b,large,lightweight_large,policy_general,[],"[""qwen3:1.7b""]",cold_start,,,False,False,55,338,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.032388657,0.019281703,0.0,0.0,0.043035496,0.018987585,0.008398474,0,0,1,0.004327864,0.030234372,0.032388657,42.121706619,0.027386059,0.009394143,0.006839084,complete,True,,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t2,2,ok,40.074960117,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,88,442,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,5.364544597,0.01132519,5.331992668,0.0,0.013744377,0.0,0.0,1,0,1,0.005009094,0.025549513,0.032551929,34.669822883,,0.014448839,0.004144629,complete,True,5.32343323,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t3,3,ok,16.116710441,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,43,505,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,4.950055847,0.009688134,4.916713307,0.0,0.012390461,0.0,0.0,1,0,1,0.005653492,0.021641979,0.03334254,11.125646105,,0.01546755,0.005923162,incorrect,False,4.909035613,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t4,4,ok,24.723052806,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,38,456,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,9.575925313,0.010266739,9.547940675,0.0,0.010191729,0.0,0.0,1,0,1,0.00518849,0.023619525,0.027984638,15.106809896,,0.013515095,0.005025,complete,True,9.540910162,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t1,1,ok,53.748296533,D,qwen3:1.7b,large,fixed_generator,policy_general,[],"[""qwen3:1.7b""]",cold_start,,,False,False,55,338,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.020789468,0.010631059,0.0,0.0,0.00587506,0.0,0.0,0,0,1,0.005649329,0.025528026,0.020789468,53.68128032,,0.008713583,0.006335807,complete,True,,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t2,2,ok,20.512820514,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,88,442,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,2.924923444,0.005537359,2.90570754,0.0,0.015730011,0.0,0.0,1,0,1,0.004628573,0.023276306,0.019215904,17.544278563,,0.014956652,0.007747804,complete,True,2.898716712,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t3,3,ok,18.736951574,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,43,505,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,6.31320942,0.005265226,6.292426028,0.0,0.01028827,0.0,0.0,1,0,1,0.004664574,0.021897178,0.020783392,12.38266203,,0.017549121,0.004816993,complete,True,6.284578286,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t4,4,ok,19.282057729,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,38,456,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,5.611879859,0.004562396,5.594289233,0.0,0.011531881,0.0,0.0,1,0,1,0.006408033,0.023925827,0.017590626,13.626645056,,0.015684476,0.005472014,complete,True,5.586331697,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t1,1,ok,63.305060091,D,qwen3:1.7b,large,lightweight_large,policy_general,[],"[""qwen3:1.7b""]",cold_start,,,False,False,55,338,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.013828733,0.0,0.0,0.0,0.031121698,0.012008536,0.006152031,0,0,1,0.005170764,0.02560533,0.013828733,63.228255877,0.018160567,0.007889412,0.006149408,complete,True,,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t2,2,ok,30.399399318,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,88,442,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.012999822,0.0,0.0,0.0,0.004172791,0.0,0.0,0,0,1,0.005999933,0.023541064,0.012999822,30.343371305,,0.006694668,0.006792526,complete,True,,
