attempt_directory,sequence_id,pattern,arm,repetition,telemetry_samples,ram_peak_mib,logical_swap_peak_mib,temperature_peak_c,gpu_utilization_mean_percent,gpu_utilization_max_percent,cpu_utilization_mean_percent,cpu_utilization_max_percent,cleanup_seconds,cleanup_errors,resident_models_after_cleanup
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,250,6358,1900,56.187,56.244,99,77.72466666666666,100,0.213084961,[],[]
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,227,6478,1900,55.843,58.414096916299556,99,75.93979441997062,100,0.220361441,[],[]
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,246,6497,1939,56.093,59.55691056910569,99,77.880081300813,100,0.19680577,[],[]
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,39,5790,1890,56.437,67.53846153846153,99,47.38461538461539,84.33333333333333,0.160251934,[],[]
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,209,6473,1985,56.687,57.39234449760765,99,78.61562998405104,100,0.208913199,[],[]
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,237,6470,1956,56.312,56.447257383966246,99,81.38185654008439,100,0.248964891,[],[]
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,148,6341,1982,56.5,57.58108108108108,99,73.54391891891892,99.33333333333333,0.204906958,[],[]
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,44,5744,1936,56.906,66.4090909090909,99,58.75,76.33333333333333,0.126164757,[],[]
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,240,6417,1999,56.312,57.72083333333333,99,80.41111111111111,100,0.208638658,[],[]
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,45,5573,1981,56.937,72.44444444444444,99,58.077777777777776,71.5,0.142590484,[],[]
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,42,5676,1880,56.25,70.07142857142857,99,54.964285714285715,92.66666666666667,0.122324784,[],[]
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,230,6526,1899,55.625,56.65652173913043,99,82.62536231884057,100,0.21789849,[],[]
ro_eeee_1_r1_replay,ro_eeee_1,EEEE,replay,1,33,5648,1880,56.187,73.06060606060606,99,57.26262626262626,79.66666666666667,0.129499299,[],[]
ro_eeee_1_r1_small,ro_eeee_1,EEEE,small,1,41,5868,1731,55.718,69.78048780487805,99,53.386178861788615,69.66666666666667,0.156967047,[],[]
ro_eeee_2_r1_adaptive,ro_eeee_2,EEEE,adaptive,1,40,5632,1879,56.281,69.375,99,53.9,68.5,0.162426059,[],[]
ro_eeee_2_r1_large,ro_eeee_2,EEEE,large,1,184,6425,1880,56.343,56.69021739130435,99,78.86141304347827,100,0.231869784,[],[]
ro_eeee_2_r1_replay,ro_eeee_2,EEEE,replay,1,33,5586,1879,56.062,71.78787878787878,99,53.43434343434343,71.5,0.141944002,[],[]
